사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100013,2021년 1월 1일 00시,금요일,대전광역시 대덕구 중리동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,35세,중상
2021010100100070,2021년 1월 1일 11시,금요일,대전광역시 동구 용운동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 기타,승용,남,61세,상해없음,보행자,남,53세,경상
2021010100100139,2021년 1월 1일 16시,금요일,대전광역시 대덕구 중리동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,53세,경상
2021010100100176,2021년 1월 1일 18시,금요일,대전광역시 중구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,여,18세,경상
2021010200100037,2021년 1월 2일 07시,토요일,대전광역시 동구 성남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,흐림,단일로 - 기타,승합,남,41세,상해없음,보행자,여,61세,경상
2021010200100413,2021년 1월 2일 21시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,기타불명,보행자,남,28세,경상
2021010300100242,2021년 1월 3일 22시,일요일,대전광역시 서구 내동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,보행자,여,73세,중상
2021010400100170,2021년 1월 4일 13시,월요일,대전광역시 유성구 상대동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,50세,상해없음,보행자,여,8세,경상
2021010400100248,2021년 1월 4일 16시,월요일,대전광역시 유성구 봉명동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,보행자,여,81세,중상
2021010500100038,2021년 1월 5일 07시,화요일,대전광역시 서구 복수동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,83세,중상
2021010600100129,2021년 1월 6일 10시,수요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,23세,상해없음,보행자,여,54세,중상
2021010600100304,2021년 1월 6일 16시,수요일,대전광역시 서구 복수동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,12세,경상
2021010600100378,2021년 1월 6일 18시,수요일,대전광역시 대덕구 중리동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,여,21세,경상
2021010700100315,2021년 1월 7일 18시,목요일,대전광역시 동구 용전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,26세,경상
2021010800100266,2021년 1월 8일 15시,금요일,대전광역시 서구 용문동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,47세,상해없음,보행자,여,82세,중상
2021010800100376,2021년 1월 8일 18시,금요일,대전광역시 대덕구 중리동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,여,29세,경상
2021010800100459,2021년 1월 8일 20시,금요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,교차로 - 교차로횡단보도내,화물,남,45세,상해없음,보행자,남,24세,경상
2021010800100498,2021년 1월 8일 21시,금요일,대전광역시 유성구 노은동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,맑음,교차로 - 교차로횡단보도내,승용,남,61세,상해없음,보행자,여,34세,경상
2021011000100334,2021년 1월 10일 21시,일요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,기타,교차로 - 교차로안,승용,남,59세,상해없음,보행자,여,48세,중상
2021011100100114,2021년 1월 11일 09시,월요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,흐림,교차로 - 교차로횡단보도내,승용,여,64세,상해없음,보행자,남,61세,경상
2021011100100134,2021년 1월 11일 10시,월요일,대전광역시 중구 대사동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,55세,상해없음,보행자,남,83세,경상
2021011100100438,2021년 1월 11일 19시,월요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,48세,경상
2021011100100479,2021년 1월 11일 20시,월요일,대전광역시 동구 삼성동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,남,62세,중상
2021011200100269,2021년 1월 12일 15시,화요일,대전광역시 서구 변동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,53세,상해없음,보행자,여,65세,중상
2021011200100450,2021년 1월 12일 21시,화요일,대전광역시 중구 문화동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,눈,교차로 - 교차로횡단보도내,승용,여,42세,상해없음,보행자,여,47세,중상
2021011200100451,2021년 1월 12일 21시,화요일,대전광역시 동구 성남동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 적설,맑음,교차로 - 교차로횡단보도내,승용,남,46세,기타불명,보행자,여,52세,경상
2021011300100276,2021년 1월 13일 15시,수요일,대전광역시 중구 태평동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,13세,경상
2021011300100333,2021년 1월 13일 17시,수요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,48세,경상
2021011300100387,2021년 1월 13일 18시,수요일,대전광역시 중구 선화동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,42세,상해없음,보행자,여,61세,중상
2021011300100389,2021년 1월 13일 18시,수요일,대전광역시 동구 가양동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,44세,상해없음,보행자,여,76세,중상
2021011300100428,2021년 1월 13일 19시,수요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,보행자,남,66세,중상
2021011400100143,2021년 1월 14일 09시,목요일,대전광역시 유성구 노은동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,보행자,여,28세,경상
2021011400100302,2021년 1월 14일 14시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,기타불명,보행자,여,24세,경상
2021011500100039,2021년 1월 15일 06시,금요일,대전광역시 유성구 노은동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,36세,상해없음,보행자,여,77세,중상
2021011500100195,2021년 1월 15일 12시,금요일,대전광역시 중구 목동,중상사고,0,1,0,1,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,38세,부상신고,보행자,여,55세,중상
2021011500100233,2021년 1월 15일 13시,금요일,대전광역시 서구 복수동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,여,68세,중상
2021011500100457,2021년 1월 15일 18시,금요일,대전광역시 유성구 노은동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,34세,상해없음,보행자,남,55세,중상
2021011500100506,2021년 1월 15일 19시,금요일,대전광역시 대덕구 중리동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,보행자,남,30세,경상
2021011600100236,2021년 1월 16일 15시,토요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,보행자,남,68세,경상
2021011600100446,2021년 1월 16일 21시,토요일,대전광역시 중구 선화동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,보행자,남,57세,중상
2021011600100447,2021년 1월 16일 21시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,보행자,남,24세,경상
2021011700100009,2021년 1월 17일 00시,일요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,남,60세,중상
2021011700100231,2021년 1월 17일 18시,일요일,대전광역시 중구 부사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,27세,상해없음,보행자,여,55세,경상
2021011700100272,2021년 1월 17일 20시,일요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,눈,교차로 - 교차로안,승용,남,49세,상해없음,보행자,남,15세,경상
2021011800100066,2021년 1월 18일 08시,월요일,대전광역시 서구 가장동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,54세,중상
2021011800100113,2021년 1월 18일 10시,월요일,대전광역시 유성구 용산동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 서리/결빙,눈,단일로 - 기타,화물,남,28세,상해없음,보행자,여,44세,중상
2021011900100357,2021년 1월 19일 16시,화요일,대전광역시 서구 가수원동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,보행자,여,65세,중상
2021011900100494,2021년 1월 19일 19시,화요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,여,56세,경상
2021011900100496,2021년 1월 19일 19시,화요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,여,25세,경상
2021012000100217,2021년 1월 20일 11시,수요일,대전광역시 서구 내동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,70세,상해없음,보행자,남,78세,경상
2021012000100595,2021년 1월 20일 20시,수요일,대전광역시 대덕구 덕암동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,63세,상해없음,보행자,남,25세,중상
2021012000100648,2021년 1월 20일 21시,수요일,대전광역시 서구 내동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,54세,상해없음,보행자,남,32세,경상
2021012000100677,2021년 1월 20일 22시,수요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,55세,경상
2021012100100306,2021년 1월 21일 15시,목요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,흐림,교차로 - 교차로횡단보도내,승용,남,65세,상해없음,보행자,여,10세,경상
2021012100100375,2021년 1월 21일 17시,목요일,대전광역시 대덕구 법동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,57세,상해없음,보행자,남,10세,경상
2021012100100435,2021년 1월 21일 18시,목요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,55세,상해없음,보행자,여,27세,경상
2021012100100533,2021년 1월 21일 20시,목요일,대전광역시 서구 괴정동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,남,23세,상해없음,보행자,남,55세,중상
2021012200100026,2021년 1월 22일 05시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,보행자,여,40세,중상
2021012200100295,2021년 1월 22일 16시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,38세,상해없음,보행자,남,23세,경상
2021012200100415,2021년 1월 22일 18시,금요일,대전광역시 서구 갈마동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,50세,중상
2021012300100263,2021년 1월 23일 15시,토요일,대전광역시 동구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,24세,경상
2021012300100429,2021년 1월 23일 20시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,보행자,남,38세,경상
2021012300100471,2021년 1월 23일 21시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,19세,기타불명,보행자,남,18세,경상
2021012400100156,2021년 1월 24일 14시,일요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,남,22세,경상
2021012400100259,2021년 1월 24일 18시,일요일,대전광역시 유성구 관평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,여,67세,중상
2021012500100089,2021년 1월 25일 08시,월요일,대전광역시 서구 도안동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,25세,상해없음,보행자,남,24세,경상
2021012500100090,2021년 1월 25일 08시,월요일,대전광역시 유성구 봉명동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,43세,중상
2021012500100184,2021년 1월 25일 11시,월요일,대전광역시 유성구 장대동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,흐림,교차로 - 교차로횡단보도내,이륜,남,49세,상해없음,보행자,여,75세,중상
2021012500100294,2021년 1월 25일 14시,월요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,보행자,여,51세,경상
2021012500100402,2021년 1월 25일 17시,월요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,여,89세,경상
2021012500100552,2021년 1월 25일 21시,월요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,32세,상해없음,보행자,남,30세,경상
2021012600100162,2021년 1월 26일 10시,화요일,대전광역시 중구 문화동,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승용,남,48세,상해없음,보행자,남,84세,중상
2021012600100190,2021년 1월 26일 11시,화요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,여,39세,상해없음,보행자,남,8세,경상
2021012600100430,2021년 1월 26일 18시,화요일,대전광역시 동구 중동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,보행자,남,67세,경상
2021012600100506,2021년 1월 26일 20시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,19세,경상
2021012800100065,2021년 1월 28일 08시,목요일,대전광역시 서구 괴정동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,29세,상해없음,보행자,남,70세,중상
2021012800100180,2021년 1월 28일 11시,목요일,대전광역시 서구 괴정동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,이륜,남,24세,상해없음,보행자,여,74세,중상
2021012800100204,2021년 1월 28일 12시,목요일,대전광역시 동구 가오동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승합,남,54세,상해없음,보행자,여,48세,중상
2021012800100205,2021년 1월 28일 12시,목요일,대전광역시 서구 가수원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,눈,교차로 - 교차로안,원동기,남,38세,상해없음,보행자,여,86세,중상
2021012800100448,2021년 1월 28일 19시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,보행자,남,39세,경상
2021012900100075,2021년 1월 29일 07시,금요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,남,37세,경상
2021012900100572,2021년 1월 29일 21시,금요일,대전광역시 중구 대흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,보행자,남,25세,경상
2021013000100050,2021년 1월 30일 07시,토요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,보행자,여,68세,경상
2021013000100165,2021년 1월 30일 12시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,34세,상해없음,보행자,남,29세,경상
2021013000100278,2021년 1월 30일 15시,토요일,대전광역시 중구 오류동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,여,59세,경상
2021013000100475,2021년 1월 30일 20시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,보행자,남,28세,경상
2021013100100362,2021년 1월 31일 21시,일요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,남,37세,경상
2021020100100184,2021년 2월 1일 12시,월요일,대전광역시 동구 중동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,남,70세,경상
2021020100100418,2021년 2월 1일 19시,월요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,32세,상해없음,보행자,남,65세,경상
2021020100100485,2021년 2월 1일 21시,월요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,보행자,남,23세,경상
2021020200100047,2021년 2월 2일 07시,화요일,대전광역시 동구 대동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,61세,경상
2021020200100373,2021년 2월 2일 18시,화요일,대전광역시 유성구 용산동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,보행자,남,27세,경상
2021020300100106,2021년 2월 3일 09시,수요일,대전광역시 동구 비룡동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,이륜,남,67세,상해없음,보행자,여,63세,중상
2021020300100367,2021년 2월 3일 17시,수요일,대전광역시 동구 대동,경상사고,0,0,1,0,차대사람 - 차도통행중,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,45세,경상
2021020300100427,2021년 2월 3일 18시,수요일,대전광역시 중구 은행동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,36세,경상
2021020300100494,2021년 2월 3일 20시,수요일,대전광역시 중구 문창동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,보행자,남,55세,사망
2021020300100495,2021년 2월 3일 20시,수요일,대전광역시 서구 변동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,33세,상해없음,보행자,남,37세,경상
2021020400100444,2021년 2월 4일 17시,목요일,대전광역시 유성구 원신흥동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,43세,상해없음,보행자,남,25세,경상
2021020400100591,2021년 2월 4일 21시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,기타불명,보행자,남,21세,경상
2021020400100628,2021년 2월 4일 23시,목요일,대전광역시 서구 관저동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,74세,중상
2021020500100075,2021년 2월 5일 08시,금요일,대전광역시 동구 용전동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,보행자,여,56세,중상
2021020500100240,2021년 2월 5일 13시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,보행자,남,24세,경상
2021020500100317,2021년 2월 5일 15시,금요일,대전광역시 중구 산성동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,화물,남,71세,기타불명,보행자,여,63세,경상
2021020500100412,2021년 2월 5일 17시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,보행자,남,16세,중상
2021020500100572,2021년 2월 5일 20시,금요일,대전광역시 대덕구 덕암동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,보행자,여,52세,경상
2021020500100619,2021년 2월 5일 21시,금요일,대전광역시 동구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,20세,상해없음,보행자,남,16세,경상
2021020600100039,2021년 2월 6일 06시,토요일,대전광역시 동구 정동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,남,52세,경상
2021020600100072,2021년 2월 6일 09시,토요일,대전광역시 대덕구 오정동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,농기계,남,50세,상해없음,보행자,여,77세,중상
2021020600100150,2021년 2월 6일 12시,토요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,8세,경상
2021020600100235,2021년 2월 6일 14시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,보행자,남,58세,경상
2021020600100371,2021년 2월 6일 18시,토요일,대전광역시 유성구 신성동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,보행자,여,26세,경상
2021020600100409,2021년 2월 6일 19시,토요일,대전광역시 대덕구 송촌동,사망사고,1,0,0,0,차대사람 - 차도통행중,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,58세,사망
2021020600100505,2021년 2월 6일 22시,토요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,남,45세,경상
2021020800100004,2021년 2월 8일 00시,월요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,73세,상해없음,보행자,여,62세,중상
2021020800100248,2021년 2월 8일 12시,월요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,22세,경상
2021020800100456,2021년 2월 8일 17시,월요일,대전광역시 유성구 구암동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,이륜,남,42세,상해없음,보행자,남,61세,중상
