사고번호,사고일시,사고장소,사고시간,구,구변수
2021010100100175,2021년 1월 1일 18시,대구광역시 달서구 본리동,18,달서구,1
2021010200100028,2021년 1월 2일 06시,대구광역시 달서구 신당동,6,달서구,1
2021010200100192,2021년 1월 2일 14시,대구광역시 달서구 상인동,14,달서구,1
2021010200100227,2021년 1월 2일 15시,대구광역시 북구 관음동,15,북구,4
2021010200100306,2021년 1월 2일 18시,대구광역시 달서구 이곡동,18,달서구,1
2021010200100374,2021년 1월 2일 20시,대구광역시 달서구 본동,20,달서구,1
2021010200100375,2021년 1월 2일 20시,대구광역시 북구 침산동,20,북구,4
2021010300100105,2021년 1월 3일 14시,대구광역시 동구 효목동,14,동구,3
2021010300100120,2021년 1월 3일 15시,대구광역시 서구 비산동,15,서구,5
2021010300100149,2021년 1월 3일 17시,대구광역시 동구 신암동,17,동구,3
2021010300100171,2021년 1월 3일 18시,대구광역시 달서구 신당동,18,달서구,1
2021010400100143,2021년 1월 4일 12시,대구광역시 수성구 범어동,12,수성구,6
2021010400100389,2021년 1월 4일 20시,대구광역시 남구 봉덕동,20,남구,0
2021010500100034,2021년 1월 5일 07시,대구광역시 달서구 죽전동,7,달서구,1
2021010500100223,2021년 1월 5일 15시,대구광역시 달서구 감삼동,15,달서구,1
2021010500100247,2021년 1월 5일 16시,대구광역시 동구 방촌동,16,동구,3
2021010500100451,2021년 1월 5일 23시,대구광역시 북구 태전동,23,북구,4
2021010600100227,2021년 1월 6일 14시,대구광역시 달서구 성당동,14,달서구,1
2021010600100272,2021년 1월 6일 15시,대구광역시 수성구 중동,15,수성구,6
2021010600100328,2021년 1월 6일 17시,대구광역시 수성구 두산동,17,수성구,6
2021010600100372,2021년 1월 6일 18시,대구광역시 달성군 옥포읍,18,달성군,2
2021010600100373,2021년 1월 6일 18시,대구광역시 중구 삼덕동1가,18,중구,7
2021010600100374,2021년 1월 6일 18시,대구광역시 북구 태전동,18,북구,4
2021010600100464,2021년 1월 6일 20시,대구광역시 동구 신천동,20,동구,3
2021010600100465,2021년 1월 6일 20시,대구광역시 수성구 두산동,20,수성구,6
2021010600100467,2021년 1월 6일 20시,대구광역시 서구 상리동,20,서구,5
2021010700100097,2021년 1월 7일 09시,대구광역시 남구 봉덕동,9,남구,0
2021010700100166,2021년 1월 7일 12시,대구광역시 수성구 범어동,12,수성구,6
2021010700100226,2021년 1월 7일 14시,대구광역시 달서구 신당동,14,달서구,1
2021010700100348,2021년 1월 7일 20시,대구광역시 서구 내당동,20,서구,5
2021010700100361,2021년 1월 7일 21시,대구광역시 중구 삼덕동1가,21,중구,7
2021010800100301,2021년 1월 8일 16시,대구광역시 동구 신암동,16,동구,3
2021010800100329,2021년 1월 8일 17시,대구광역시 수성구 지산동,17,수성구,6
2021010800100330,2021년 1월 8일 17시,대구광역시 수성구 지산동,17,수성구,6
2021010800100369,2021년 1월 8일 18시,대구광역시 달서구 장기동,18,달서구,1
2021010800100408,2021년 1월 8일 19시,대구광역시 서구 평리동,19,서구,5
2021010800100445,2021년 1월 8일 20시,대구광역시 남구 대명동,20,남구,0
2021010800100449,2021년 1월 8일 20시,대구광역시 수성구 중동,20,수성구,6
2021010900100281,2021년 1월 9일 16시,대구광역시 동구 신암동,16,동구,3
2021010900100282,2021년 1월 9일 16시,대구광역시 수성구 지산동,16,수성구,6
2021010900100316,2021년 1월 9일 17시,대구광역시 남구 대명동,17,남구,0
2021010900100320,2021년 1월 9일 17시,대구광역시 달서구 송현동,17,달서구,1
2021010900100453,2021년 1월 9일 21시,대구광역시 수성구 노변동,21,수성구,6
2021010900100475,2021년 1월 9일 22시,대구광역시 달성군 구지면,22,달성군,2
2021011000100260,2021년 1월 10일 18시,대구광역시 서구 평리동,18,서구,5
2021011000100282,2021년 1월 10일 19시,대구광역시 북구 팔달동,19,북구,4
2021011000100332,2021년 1월 10일 21시,대구광역시 서구 평리동,21,서구,5
2021011100100025,2021년 1월 11일 06시,대구광역시 남구 대명동,6,남구,0
2021011100100026,2021년 1월 11일 06시,대구광역시 북구 검단동,6,북구,4
2021011100100184,2021년 1월 11일 12시,대구광역시 수성구 만촌동,12,수성구,6
2021011100100432,2021년 1월 11일 19시,대구광역시 남구 봉덕동,19,남구,0
2021011100100435,2021년 1월 11일 19시,대구광역시 북구 복현동,19,북구,4
2021011100100436,2021년 1월 11일 19시,대구광역시 서구 평리동,19,서구,5
2021011100100512,2021년 1월 11일 21시,대구광역시 달서구 이곡동,21,달서구,1
2021011200100070,2021년 1월 12일 08시,대구광역시 동구 신암동,8,동구,3
2021011200100088,2021년 1월 12일 09시,대구광역시 중구 서야동,9,중구,7
2021011200100168,2021년 1월 12일 12시,대구광역시 동구 율암동,12,동구,3
2021011200100265,2021년 1월 12일 15시,대구광역시 수성구 지산동,15,수성구,6
2021011200100366,2021년 1월 12일 18시,대구광역시 북구 산격동,18,북구,4
2021011200100416,2021년 1월 12일 20시,대구광역시 중구 공평동,20,중구,7
2021011200100447,2021년 1월 12일 21시,대구광역시 중구 사일동,21,중구,7
2021011300100040,2021년 1월 13일 06시,대구광역시 북구 노원동3가,6,북구,4
2021011300100269,2021년 1월 13일 15시,대구광역시 동구 신서동,15,동구,3
2021011300100325,2021년 1월 13일 17시,대구광역시 달서구 신당동,17,달서구,1
2021011300100327,2021년 1월 13일 17시,대구광역시 북구 팔달동,17,북구,4
2021011300100422,2021년 1월 13일 19시,대구광역시 수성구 범어동,19,수성구,6
2021011400100175,2021년 1월 14일 10시,대구광역시 달성군 화원읍,10,달성군,2
2021011400100233,2021년 1월 14일 12시,대구광역시 동구 율하동,12,동구,3
2021011400100264,2021년 1월 14일 13시,대구광역시 달서구 성당동,13,달서구,1
2021011400100337,2021년 1월 14일 15시,대구광역시 중구 삼덕동1가,15,중구,7
2021011400100339,2021년 1월 14일 15시,대구광역시 달서구 두류동,15,달서구,1
2021011400100471,2021년 1월 14일 18시,대구광역시 북구 동천동,18,북구,4
2021011400100592,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,21,중구,7
2021011400100593,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,21,중구,7
2021011500100037,2021년 1월 15일 06시,대구광역시 서구 비산동,6,서구,5
2021011500100109,2021년 1월 15일 09시,대구광역시 수성구 상동,9,수성구,6
2021011500100188,2021년 1월 15일 12시,대구광역시 수성구 범어동,12,수성구,6
2021011500100190,2021년 1월 15일 12시,대구광역시 달서구 송현동,12,달서구,1
2021011500100298,2021년 1월 15일 15시,대구광역시 서구 평리동,15,서구,5
2021011500100369,2021년 1월 15일 17시,대구광역시 달서구 감삼동,17,달서구,1
2021011500100440,2021년 1월 15일 18시,대구광역시 동구 신천동,18,동구,3
2021011500100442,2021년 1월 15일 18시,대구광역시 수성구 수성동1가,18,수성구,6
2021011500100443,2021년 1월 15일 18시,대구광역시 북구 산격동,18,북구,4
2021011500100444,2021년 1월 15일 18시,대구광역시 달서구 성당동,18,달서구,1
2021011500100619,2021년 1월 15일 23시,대구광역시 달성군 가창면,23,달성군,2
2021011600100056,2021년 1월 16일 08시,대구광역시 수성구 지산동,8,수성구,6
2021011600100163,2021년 1월 16일 13시,대구광역시 달서구 상인동,13,달서구,1
2021011600100200,2021년 1월 16일 14시,대구광역시 달서구 진천동,14,달서구,1
2021011600100231,2021년 1월 16일 15시,대구광역시 수성구 범어동,15,수성구,6
2021011600100444,2021년 1월 16일 21시,대구광역시 중구 삼덕동1가,21,중구,7
2021011700100127,2021년 1월 17일 14시,대구광역시 달서구 송현동,14,달서구,1
2021011800100020,2021년 1월 18일 06시,대구광역시 북구 매천동,6,북구,4
2021011800100156,2021년 1월 18일 12시,대구광역시 동구 신천동,12,동구,3
2021011800100178,2021년 1월 18일 13시,대구광역시 동구 율하동,13,동구,3
2021011800100222,2021년 1월 18일 15시,대구광역시 동구 검사동,15,동구,3
2021011800100326,2021년 1월 18일 18시,대구광역시 남구 대명동,18,남구,0
2021011800100446,2021년 1월 18일 21시,대구광역시 달성군 현풍읍,21,달성군,2
2021011800100450,2021년 1월 18일 21시,대구광역시 달서구 본리동,21,달서구,1
2021011900100188,2021년 1월 19일 11시,대구광역시 수성구 두산동,11,수성구,6
2021011900100317,2021년 1월 19일 15시,대구광역시 달서구 상인동,15,달서구,1
2021011900100393,2021년 1월 19일 17시,대구광역시 달서구 죽전동,17,달서구,1
2021011900100443,2021년 1월 19일 18시,대구광역시 북구 침산동,18,북구,4
2021011900100535,2021년 1월 19일 20시,대구광역시 달성군 화원읍,20,달성군,2
2021012000100290,2021년 1월 20일 13시,대구광역시 달서구 두류동,13,달서구,1
2021012000100349,2021년 1월 20일 15시,대구광역시 수성구 지산동,15,수성구,6
2021012100100151,2021년 1월 21일 10시,대구광역시 수성구 지산동,10,수성구,6
2021012100100188,2021년 1월 21일 11시,대구광역시 동구 불로동,11,동구,3
2021012100100299,2021년 1월 21일 15시,대구광역시 남구 대명동,15,남구,0
2021012100100303,2021년 1월 21일 15시,대구광역시 북구 침산동,15,북구,4
2021012100100484,2021년 1월 21일 19시,대구광역시 달서구 상인동,19,달서구,1
2021012100100486,2021년 1월 21일 19시,대구광역시 서구 평리동,19,서구,5
2021012100100524,2021년 1월 21일 20시,대구광역시 달성군 가창면,20,달성군,2
2021012100100570,2021년 1월 21일 21시,대구광역시 달서구 월성동,21,달서구,1
2021012100100572,2021년 1월 21일 21시,대구광역시 달서구 감삼동,21,달서구,1
2021012200100025,2021년 1월 22일 05시,대구광역시 중구 계산동2가,5,중구,7
2021012200100043,2021년 1월 22일 06시,대구광역시 서구 비산동,6,서구,5
2021012200100171,2021년 1월 22일 12시,대구광역시 수성구 황금동,12,수성구,6
2021012200100175,2021년 1월 22일 12시,대구광역시 남구 대명동,12,남구,0
2021012200100229,2021년 1월 22일 14시,대구광역시 수성구 범어동,14,수성구,6
2021012200100288,2021년 1월 22일 16시,대구광역시 수성구 수성동4가,16,수성구,6
2021012200100289,2021년 1월 22일 16시,대구광역시 달서구 상인동,16,달서구,1
2021012200100290,2021년 1월 22일 16시,대구광역시 북구 복현동,16,북구,4
2021012200100291,2021년 1월 22일 16시,대구광역시 달서구 이곡동,16,달서구,1
2021012200100600,2021년 1월 22일 23시,대구광역시 동구 신암동,23,동구,3
2021012200100601,2021년 1월 22일 23시,대구광역시 달서구 월성동,23,달서구,1
2021012300100427,2021년 1월 23일 20시,대구광역시 달성군 다사읍,20,달성군,2
2021012400100199,2021년 1월 24일 16시,대구광역시 동구 불로동,16,동구,3
2021012400100200,2021년 1월 24일 16시,대구광역시 서구 비산동,16,서구,5
2021012400100312,2021년 1월 24일 20시,대구광역시 중구 삼덕동1가,20,중구,7
2021012500100212,2021년 1월 25일 12시,대구광역시 수성구 상동,12,수성구,6
2021012500100323,2021년 1월 25일 15시,대구광역시 북구 태전동,15,북구,4
2021012500100356,2021년 1월 25일 16시,대구광역시 달성군 다사읍,16,달성군,2
2021012500100481,2021년 1월 25일 19시,대구광역시 달성군 다사읍,19,달성군,2
2021012600100018,2021년 1월 26일 02시,대구광역시 북구 관음동,2,북구,4
2021012600100309,2021년 1월 26일 15시,대구광역시 동구 신서동,15,동구,3
2021012600100415,2021년 1월 26일 18시,대구광역시 동구 율하동,18,동구,3
2021012600100468,2021년 1월 26일 19시,대구광역시 동구 방촌동,19,동구,3
2021012600100469,2021년 1월 26일 19시,대구광역시 수성구 시지동,19,수성구,6
2021012600100471,2021년 1월 26일 19시,대구광역시 북구 노원동3가,19,북구,4
2021012600100549,2021년 1월 26일 22시,대구광역시 달성군 하빈면,22,달성군,2
2021012700100016,2021년 1월 27일 03시,대구광역시 동구 검사동,3,동구,3
2021012700100180,2021년 1월 27일 12시,대구광역시 남구 대명동,12,남구,0
2021012700100279,2021년 1월 27일 15시,대구광역시 동구 각산동,15,동구,3
2021012700100339,2021년 1월 27일 17시,대구광역시 달성군 다사읍,17,달성군,2
2021012700100431,2021년 1월 27일 19시,대구광역시 동구 괴전동,19,동구,3
2021012700100471,2021년 1월 27일 20시,대구광역시 남구 이천동,20,남구,0
2021012700100473,2021년 1월 27일 20시,대구광역시 수성구 신매동,20,수성구,6
2021012700100508,2021년 1월 27일 21시,대구광역시 달서구 성당동,21,달서구,1
2021012800100061,2021년 1월 28일 08시,대구광역시 서구 평리동,8,서구,5
2021012800100086,2021년 1월 28일 09시,대구광역시 달서구 신당동,9,달서구,1
2021012800100438,2021년 1월 28일 19시,대구광역시 달서구 두류동,19,달서구,1
2021012900100139,2021년 1월 29일 09시,대구광역시 동구 서호동,9,동구,3
2021012900100141,2021년 1월 29일 09시,대구광역시 달서구 월성동,9,달서구,1
2021012900100177,2021년 1월 29일 10시,대구광역시 수성구 범어동,10,수성구,6
2021012900100354,2021년 1월 29일 16시,대구광역시 달성군 다사읍,16,달성군,2
2021012900100439,2021년 1월 29일 18시,대구광역시 달서구 월성동,18,달서구,1
2021012900100566,2021년 1월 29일 21시,대구광역시 달서구 진천동,21,달서구,1
2021013000100043,2021년 1월 30일 06시,대구광역시 달서구 두류동,6,달서구,1
2021013000100200,2021년 1월 30일 13시,대구광역시 북구 구암동,13,북구,4
2021013000100394,2021년 1월 30일 18시,대구광역시 수성구 수성동1가,18,수성구,6
2021013000100430,2021년 1월 30일 19시,대구광역시 달서구 두류동,19,달서구,1
2021013000100468,2021년 1월 30일 20시,대구광역시 수성구 범물동,20,수성구,6
2021013000100522,2021년 1월 30일 21시,대구광역시 서구 내당동,21,서구,5
2021013100100021,2021년 1월 31일 01시,대구광역시 북구 태전동,1,북구,4
2021013100100193,2021년 1월 31일 15시,대구광역시 남구 대명동,15,남구,0
2021013100100307,2021년 1월 31일 19시,대구광역시 동구 신천동,19,동구,3
2021020100100034,2021년 2월 1일 06시,대구광역시 달서구 이곡동,6,달서구,1
2021020100100258,2021년 2월 1일 15시,대구광역시 북구 태전동,15,북구,4
2021020100100447,2021년 2월 1일 20시,대구광역시 달서구 장기동,20,달서구,1
2021020200100026,2021년 2월 2일 06시,대구광역시 달서구 신당동,6,달서구,1
2021020200100095,2021년 2월 2일 09시,대구광역시 달서구 송현동,9,달서구,1
2021020200100115,2021년 2월 2일 10시,대구광역시 수성구 성동,10,수성구,6
2021020200100305,2021년 2월 2일 16시,대구광역시 달서구 용산동,16,달서구,1
2021020200100336,2021년 2월 2일 17시,대구광역시 달서구 본동,17,달서구,1
2021020300100212,2021년 2월 3일 13시,대구광역시 북구 태전동,13,북구,4
2021020300100490,2021년 2월 3일 20시,대구광역시 남구 대명동,20,남구,0
2021020400100318,2021년 2월 4일 14시,대구광역시 수성구 만촌동,14,수성구,6
2021020400100585,2021년 2월 4일 21시,대구광역시 중구 삼덕동1가,21,중구,7
2021020500100070,2021년 2월 5일 08시,대구광역시 달서구 신당동,8,달서구,1
2021020500100308,2021년 2월 5일 15시,대구광역시 수성구 범어동,15,수성구,6
2021020500100353,2021년 2월 5일 16시,대구광역시 중구 교동,16,중구,7
2021020600100117,2021년 2월 6일 11시,대구광역시 수성구 두산동,11,수성구,6
2021020600100200,2021년 2월 6일 13시,대구광역시 동구 효목동,13,동구,3
2021020600100289,2021년 2월 6일 16시,대구광역시 동구 용계동,16,동구,3
2021020600100405,2021년 2월 6일 19시,대구광역시 달서구 호산동,19,달서구,1
2021020600100436,2021년 2월 6일 20시,대구광역시 달서구 성당동,20,달서구,1
2021020700100285,2021년 2월 7일 18시,대구광역시 북구 산격동,18,북구,4
2021020700100286,2021년 2월 7일 18시,대구광역시 중구 공평동,18,중구,7
2021020800100003,2021년 2월 8일 00시,대구광역시 달서구 대곡동,0,달서구,1
2021020800100360,2021년 2월 8일 15시,대구광역시 북구 산격동,15,북구,4
2021020800100496,2021년 2월 8일 18시,대구광역시 달서구 상인동,18,달서구,1
2021020800100537,2021년 2월 8일 19시,대구광역시 북구 구암동,19,북구,4
2021020800100642,2021년 2월 8일 22시,대구광역시 달성군 다사읍,22,달성군,2
2021020900100058,2021년 2월 9일 07시,대구광역시 수성구 만촌동,7,수성구,6
2021020900100117,2021년 2월 9일 09시,대구광역시 달서구 장기동,9,달서구,1
2021020900100239,2021년 2월 9일 12시,대구광역시 달서구 장동,12,달서구,1
2021020900100285,2021년 2월 9일 13시,대구광역시 달서구 송현동,13,달서구,1
2021020900100328,2021년 2월 9일 14시,대구광역시 달서구 도원동,14,달서구,1
2021020900100331,2021년 2월 9일 14시,대구광역시 달서구 감삼동,14,달서구,1
2021020900100468,2021년 2월 9일 17시,대구광역시 달서구 두류동,17,달서구,1
2021020900100735,2021년 2월 9일 23시,대구광역시 수성구 연호동,23,수성구,6
2021021000100068,2021년 2월 10일 07시,대구광역시 동구 동호동,7,동구,3
2021021000100069,2021년 2월 10일 07시,대구광역시 달서구 용산동,7,달서구,1
2021021000100163,2021년 2월 10일 10시,대구광역시 달서구 진천동,10,달서구,1
2021021000100209,2021년 2월 10일 11시,대구광역시 북구 대현동,11,북구,4
2021021000100323,2021년 2월 10일 14시,대구광역시 수성구 지산동,14,수성구,6
2021021000100324,2021년 2월 10일 14시,대구광역시 달성군 가창면,14,달성군,2
2021021000100364,2021년 2월 10일 15시,대구광역시 동구 신기동,15,동구,3
2021021000100458,2021년 2월 10일 17시,대구광역시 남구 대명동,17,남구,0
2021021000100461,2021년 2월 10일 17시,대구광역시 북구 침산동,17,북구,4
2021021000100462,2021년 2월 10일 17시,대구광역시 달서구 두류동,17,달서구,1
2021021000100520,2021년 2월 10일 18시,대구광역시 북구 산격동,18,북구,4
2021021000100521,2021년 2월 10일 18시,대구광역시 중구 포정동,18,중구,7
2021021000100700,2021년 2월 10일 21시,대구광역시 중구 남산동,21,중구,7
2021021000100731,2021년 2월 10일 22시,대구광역시 북구 동천동,22,북구,4
2021021100100097,2021년 2월 11일 11시,대구광역시 북구 읍내동,11,북구,4
2021021100100356,2021년 2월 11일 22시,대구광역시 달서구 본리동,22,달서구,1
2021021100100357,2021년 2월 11일 22시,대구광역시 북구 읍내동,22,북구,4
2021021200100104,2021년 2월 12일 13시,대구광역시 수성구 범어동,13,수성구,6
2021021200100163,2021년 2월 12일 16시,대구광역시 달서구 송현동,16,달서구,1
2021021200100235,2021년 2월 12일 20시,대구광역시 달서구 상인동,20,달서구,1
2021021300100010,2021년 2월 13일 01시,대구광역시 수성구 범어동,1,수성구,6
2021021300100123,2021년 2월 13일 13시,대구광역시 북구 태전동,13,북구,4
2021021300100199,2021년 2월 13일 16시,대구광역시 동구 율하동,16,동구,3
2021021300100414,2021년 2월 13일 23시,대구광역시 수성구 범물동,23,수성구,6
2021021400100011,2021년 2월 14일 01시,대구광역시 수성구 황금동,1,수성구,6
2021021400100072,2021년 2월 14일 12시,대구광역시 수성구 범물동,12,수성구,6
2021021400100130,2021년 2월 14일 15시,대구광역시 수성구 상동,15,수성구,6
2021021400100131,2021년 2월 14일 15시,대구광역시 북구 산격동,15,북구,4
2021021400100301,2021년 2월 14일 21시,대구광역시 수성구 범어동,21,수성구,6
2021021400100304,2021년 2월 14일 21시,대구광역시 달서구 두류동,21,달서구,1
2021021500100323,2021년 2월 15일 17시,대구광역시 달서구 월성동,17,달서구,1
2021021500100399,2021년 2월 15일 19시,대구광역시 달서구 용산동,19,달서구,1
2021021500100421,2021년 2월 15일 20시,대구광역시 동구 각산동,20,동구,3
2021021500100461,2021년 2월 15일 22시,대구광역시 서구 중리동,22,서구,5
2021021600100032,2021년 2월 16일 05시,대구광역시 남구 대명동,5,남구,0
2021021600100170,2021년 2월 16일 12시,대구광역시 서구 내당동,12,서구,5
2021021700100033,2021년 2월 17일 05시,대구광역시 북구 산격동,5,북구,4
2021021700100207,2021년 2월 17일 12시,대구광역시 북구 노원동2가,12,북구,4
2021021700100337,2021년 2월 17일 16시,대구광역시 달서구 송현동,16,달서구,1
2021021700100338,2021년 2월 17일 16시,대구광역시 북구 노원동3가,16,북구,4
2021021700100422,2021년 2월 17일 18시,대구광역시 달서구 장기동,18,달서구,1
2021021700100423,2021년 2월 17일 18시,대구광역시 북구 동천동,18,북구,4
2021021700100499,2021년 2월 17일 20시,대구광역시 동구 입석동,20,동구,3
2021021800100025,2021년 2월 18일 05시,대구광역시 달서구 이곡동,5,달서구,1
2021021800100158,2021년 2월 18일 11시,대구광역시 달서구 이곡동,11,달서구,1
2021021800100331,2021년 2월 18일 16시,대구광역시 달서구 송현동,16,달서구,1
2021021800100442,2021년 2월 18일 19시,대구광역시 수성구 상동,19,수성구,6
2021021800100443,2021년 2월 18일 19시,대구광역시 달서구 유천동,19,달서구,1
2021021900100245,2021년 2월 19일 12시,대구광역시 서구 평리동,12,서구,5
2021021900100324,2021년 2월 19일 14시,대구광역시 수성구 만촌동,14,수성구,6
2021021900100368,2021년 2월 19일 15시,대구광역시 서구 평리동,15,서구,5
2021021900100423,2021년 2월 19일 16시,대구광역시 달서구 본리동,16,달서구,1
2021021900100572,2021년 2월 19일 19시,대구광역시 달서구 대곡동,19,달서구,1
2021022000100040,2021년 2월 20일 04시,대구광역시 중구 삼덕동1가,4,중구,7
2021022000100100,2021년 2월 20일 09시,대구광역시 북구 동천동,9,북구,4
2021022000100121,2021년 2월 20일 10시,대구광역시 달서구 송현동,10,달서구,1
2021022000100228,2021년 2월 20일 13시,대구광역시 남구 대명동,13,남구,0
2021022000100230,2021년 2월 20일 13시,대구광역시 동구 각산동,13,동구,3
2021022000100231,2021년 2월 20일 13시,대구광역시 달서구 두류동,13,달서구,1
2021022000100296,2021년 2월 20일 15시,대구광역시 중구 삼덕동1가,15,중구,7
2021022000100335,2021년 2월 20일 16시,대구광역시 달서구 송현동,16,달서구,1
2021022000100337,2021년 2월 20일 16시,대구광역시 중구 동인동3가,16,중구,7
2021022000100410,2021년 2월 20일 18시,대구광역시 수성구 범물동,18,수성구,6
2021022000100467,2021년 2월 20일 20시,대구광역시 달성군 옥포읍,20,달성군,2
2021022100100169,2021년 2월 21일 14시,대구광역시 수성구 두산동,14,수성구,6
2021022100100172,2021년 2월 21일 14시,대구광역시 달서구 감삼동,14,달서구,1
2021022100100255,2021년 2월 21일 16시,대구광역시 달서구 본동,16,달서구,1
2021022200100015,2021년 2월 22일 03시,대구광역시 수성구 수성동4가,3,수성구,6
2021022200100139,2021년 2월 22일 09시,대구광역시 수성구 신매동,9,수성구,6
2021022200100202,2021년 2월 22일 11시,대구광역시 남구 대명동,11,남구,0
2021022200100264,2021년 2월 22일 13시,대구광역시 달서구 성당동,13,달서구,1
2021022200100295,2021년 2월 22일 14시,대구광역시 북구 복현동,14,북구,4
2021022200100383,2021년 2월 22일 16시,대구광역시 중구 공평동,16,중구,7
2021022200100417,2021년 2월 22일 17시,대구광역시 북구 검단동,17,북구,4
2021022200100451,2021년 2월 22일 18시,대구광역시 달성군 다사읍,18,달성군,2
2021022200100519,2021년 2월 22일 20시,대구광역시 서구 비산동,20,서구,5
2021022300100030,2021년 2월 23일 05시,대구광역시 수성구 두산동,5,수성구,6
2021022300100172,2021년 2월 23일 11시,대구광역시 수성구 범어동,11,수성구,6
2021022300100319,2021년 2월 23일 15시,대구광역시 동구 방촌동,15,동구,3
2021022400100102,2021년 2월 24일 09시,대구광역시 북구 태전동,9,북구,4
2021022400100206,2021년 2월 24일 13시,대구광역시 북구 산격동,13,북구,4
2021022400100277,2021년 2월 24일 15시,대구광역시 남구 봉덕동,15,남구,0
2021022400100307,2021년 2월 24일 16시,대구광역시 북구 칠성동2가,16,북구,4
2021022400100506,2021년 2월 24일 22시,대구광역시 남구 대명동,22,남구,0
2021022500100096,2021년 2월 25일 08시,대구광역시 수성구 범어동,8,수성구,6
2021022500100098,2021년 2월 25일 08시,대구광역시 서구 내당동,8,서구,5
2021022500100264,2021년 2월 25일 15시,대구광역시 북구 태전동,15,북구,4
2021022500100421,2021년 2월 25일 19시,대구광역시 달서구 송현동,19,달서구,1
2021022600100066,2021년 2월 26일 07시,대구광역시 중구 대신동,7,중구,7
2021022600100121,2021년 2월 26일 09시,대구광역시 수성구 수성동3가,9,수성구,6
2021022600100148,2021년 2월 26일 10시,대구광역시 북구 칠성동2가,10,북구,4
2021022600100182,2021년 2월 26일 11시,대구광역시 동구 서호동,11,동구,3
2021022600100289,2021년 2월 26일 14시,대구광역시 동구 신암동,14,동구,3
2021022600100328,2021년 2월 26일 15시,대구광역시 달성군 현풍읍,15,달성군,2
2021022600100397,2021년 2월 26일 17시,대구광역시 수성구 매호동,17,수성구,6
2021022600100500,2021년 2월 26일 19시,대구광역시 남구 대명동,19,남구,0
2021022600100540,2021년 2월 26일 20시,대구광역시 수성구 신매동,20,수성구,6
2021022600100568,2021년 2월 26일 21시,대구광역시 달서구 신당동,21,달서구,1
2021022700100044,2021년 2월 27일 06시,대구광역시 서구 비산동,6,서구,5
2021022700100271,2021년 2월 27일 14시,대구광역시 북구 관음동,14,북구,4
2021022700100404,2021년 2월 27일 18시,대구광역시 동구 효목동,18,동구,3
2021022700100409,2021년 2월 27일 18시,대구광역시 중구 북성로1가,18,중구,7
2021022700100546,2021년 2월 27일 23시,대구광역시 북구 구암동,23,북구,4
2021022800100284,2021년 2월 28일 18시,대구광역시 중구 남일동,18,중구,7
2021030100100012,2021년 3월 1일 01시,대구광역시 달서구 본동,1,달서구,1
2021030100100214,2021년 3월 1일 16시,대구광역시 수성구 범어동,16,수성구,6
2021030100100296,2021년 3월 1일 18시,대구광역시 동구 지저동,18,동구,3
2021030100100410,2021년 3월 1일 21시,대구광역시 달서구 성당동,21,달서구,1
2021030100100412,2021년 3월 1일 21시,대구광역시 북구 연경동,21,북구,4
2021030100100444,2021년 3월 1일 22시,대구광역시 달서구 용산동,22,달서구,1
2021030200100259,2021년 3월 2일 14시,대구광역시 중구 남산동,14,중구,7
2021030200100399,2021년 3월 2일 18시,대구광역시 동구 동호동,18,동구,3
2021030300100022,2021년 3월 3일 04시,대구광역시 동구 신암동,4,동구,3
2021030300100159,2021년 3월 3일 10시,대구광역시 남구 대명동,10,남구,0
2021030300100161,2021년 3월 3일 10시,대구광역시 북구 국우동,10,북구,4
2021030300100293,2021년 3월 3일 14시,대구광역시 달서구 성당동,14,달서구,1
2021030300100518,2021년 3월 3일 22시,대구광역시 북구 태전동,22,북구,4
2021030400100042,2021년 3월 4일 06시,대구광역시 서구 내당동,6,서구,5
2021030400100267,2021년 3월 4일 15시,대구광역시 서구 중리동,15,서구,5
2021030400100323,2021년 3월 4일 17시,대구광역시 북구 동천동,17,북구,4
2021030400100441,2021년 3월 4일 20시,대구광역시 달서구 두류동,20,달서구,1
2021030500100290,2021년 3월 5일 14시,대구광역시 수성구 범어동,14,수성구,6
2021030500100334,2021년 3월 5일 15시,대구광역시 중구 동성로2가,15,중구,7
2021030500100371,2021년 3월 5일 16시,대구광역시 남구 대명동,16,남구,0
2021030500100409,2021년 3월 5일 17시,대구광역시 중구 대봉동,17,중구,7
2021030500100453,2021년 3월 5일 18시,대구광역시 남구 봉덕동,18,남구,0
2021030600100021,2021년 3월 6일 01시,대구광역시 달서구 본리동,1,달서구,1
2021030700100375,2021년 3월 7일 22시,대구광역시 동구 불로동,22,동구,3
2021030800100118,2021년 3월 8일 08시,대구광역시 달서구 본동,8,달서구,1
2021030800100300,2021년 3월 8일 14시,대구광역시 남구 대명동,14,남구,0
2021030800100459,2021년 3월 8일 18시,대구광역시 달서구 본리동,18,달서구,1
2021030800100562,2021년 3월 8일 21시,대구광역시 동구 신암동,21,동구,3
2021030800100584,2021년 3월 8일 22시,대구광역시 달서구 장기동,22,달서구,1
2021030900100020,2021년 3월 9일 04시,대구광역시 수성구 만촌동,4,수성구,6
2021030900100129,2021년 3월 9일 10시,대구광역시 달서구 대곡동,10,달서구,1
2021030900100167,2021년 3월 9일 11시,대구광역시 남구 대명동,11,남구,0
2021030900100224,2021년 3월 9일 13시,대구광역시 남구 대명동,13,남구,0
